"bea_code","bea_cause","bea_action"
141127,"This should never happen, unless you have deliberately unregistered or deleted this MBean.","Restore the MBean or restart the server."
141126,"This occurs when the write permissions on the file are not set to allow the user that booted the server to write to the config.xml file. Write access is often intentionally denied in production environments.","In many cases, write access is intentionally denied. In such cases, this is just an informational message. If the file needs to be writable, change the permissions on the file or ask your system administrator to do so if you cannot."
141125,"This is most likely due to an internal error.","Set the username and password on the RemoteStart MBean."
141124,"The server might have been started using an invalid system property. For example, starting the server using java -D weblogic.Server will throw this exception.","Correct the invalid system property."
141123,"Some internal management error may be causing this.","This Debug message might help with the troubleshooting of a problem."
141122,"This might occur due to an invalid request to create an MBean of an unknown type.","Specify the correct type or set the CLASSPATH variable properly."
141121,"This is part of normal operations.","No action required."
141120,"This is part of normal operations.","Check whether managed server is up and running."
141119,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141118,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141117,"The server HTTP address is not one that is recognized by the admin server.","Check the log on the admin server to verify that it is properly functioning at the address from which the managed server is being started."
141116,"This error occurs when the remote server was either killed ungracefully or is unreachable (for example, it is partitioned or unresponsive).","Either start the managed server serverName or perform a graceful shutdown."
141115,"This error occurs when you are actively connected to the admin server you originally booted, and that server or another server attempts to cause you to reconnect to it.","Shutdown the admin server that is running at currentURL."
141114,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141113,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141112,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141111,"One of the following has occurred: the admin server was either unable to communicate with the remote managed server server; the configuration Mbean objectName was unavailable; or the request was unsuccessful.","Verify that the managed server server is reachable."
141110,"The specified attribute value falls outside the determined legal value settings for this attribute.","Verify that the specified value is appropriate for this attribute."
141109,"The managed server is currently unreachable, or an internal error has occurred that prevents the specified configuration MBean from being created on the managed server.","Confirm that the managed server is reachable."
141108,"This is likely caused by the hand editing of the config.xml, resulting in the definition of the AbstractMbean type.","Either remove the entry from config.xml or wait until the server writes the config.xml."
141107,"Normal system initialization processing.","No action is required."
141103,"The admin server has already been shutdown prior to the shutdown of the managed server, or it is partitioned from the managed server.","No action is required."
141102,"Either the named subject is not allowed to perform this action and is appropriately being denied this access, or the named subject should be allowed to perform this action and the role membership of the subject is not properly configured.","Contact the system administrator to modify role definitions."
141101,"This is expected during an initial startup of the server for a new domain, where the administrator is expecting the domain to be created as part of the admin server startup, based on the weblogic.Domain property.","No action is required."
141100,"This is expected behavior during initial startup of the server for a new domain, where the administrator is expecting a default domain to be created as part of the admin server startup.","No action is required."
141099,"An invalid cluster configuration has been specified for the Migratable Target.","Verify that the specified cluster configuration is correct."
141098,"No information available.","No information available."
141097,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle Support."
141096,"No information available.","No information available."
141095,"Refer to contents of exception to find the cause of the internal poller error.","Contact Oracle Support."
141094,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle Support."
141093,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle Support."
141092,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle Support."
141091,"-Dweblogic.Domain= was specified in the system properties.","-Dweblogic.Domain= should be removed from the startup command line."
141090,"A configuration file, config.xml, was not found in the startup directory or the config/domain directory.","No action is required if the exception is related to creating a new domain. Otherwise, start the server in a directory containing a valid configuration file."
141089,"The startup directory does not contain the configuration file, config.xml. The file was located in the config/domain directory.","Start the server from the directory that contains the domain configuration file."
141088,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle Support."
141087,"An unrecognized property has been specified on the start command.","Eliminate the invalid properties from the start command."
141086,"The specified command line property provided an invalid value for attribute attr.","Verify that the specified command line property provides a valid attribute value."
141085,"An invalid debug filter setting was specified using the -Dweblogic.debug= specification.","Correct the debug specification for the Java weblogic.Server command."
141084,"An invalid debug setting was specified using the -Dweblogic.debug= specification.","Correct the debug specification for the java weblogic.Server command."
141083,"No information available.","No action required."
141082,"No information available.","No action required."
141081,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
141080,"No information available.","No action required."
141079,"Either the admin server is not currently running, or the starting managed server is unable to communicate with the admin server due to network problems.","If it is not desirable to have the managed server running independently, either restart the admin server (if it is not running), or correct the network partition and then restart the managed server."
141078,"The extraction of the EAR file failed due to some IO error. See the logged exception for details.","Make sure that the file referred to in the exception can be created, and there is no directory by the same name."
141077,"Refer to the exception details for the exact cause of this parsing error.","Take action based upon provided exception details to either correct the identified component or its descriptors."
141076,"The application is potentially misconfigured relative to this module.","Verify that the application archive and its descriptors are correctly configured."
141075,"The admin server may be unavailable or may have encountered an internal error while processing this request.","Verify that the admin server is running and available, and refer to the admin server log for possible additional details on the error."
141074,"The configuration parser will disable AttributeChangeNotifications until it finishes parsing the configuration file. Notifications will still be sent.","Make sure that your MBean class extends DynamicMBeanImpl."
141073,"This is an information-level message.","No action required."
141072,"The AttributeChangeNotification was not created with ObjectName as its source, but it was created with another class.","Change the AttributeChangeNotification constructor to take ObjectName as its source."
141071,"This is an internal error that should not occur during normal operations.","Contact Oracle support."
141070,"This is an internal error that should not occur during normal operations.","A stack trace was used to determine a specific error. Delete the associated ApplicationMBean."
141069,"This is an invalid configuration.","Remove any servers that are not at the same release level as what is configured for this application."
141068,"The component specifies targets that are incompatible with the application.","Add the component to a compatible version of the application."
141067,"The attribute value does not meet the conditions imposed upon it.","Modify your configuration to provide a valid attribute value for this attribute."
141066,"The MBean mbean does not currently support attribute attribute.","Verify the MBean interface, as well as its methods and attributes."
141065,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141064,"Refer to the embedded exception information for more details as to the probable cause of this error.","Verify that MBean mbean supports the specified operation method and that the provided parameters are valid."
141063,"This user has no defined ACL to perform this MBean operation.","The system administrator must define permissions in order for this user to perform this MBean operation."
141062,"No ACL permissions are defined for this user to complete this operation.","The system sdministrator must add ACL permissions in order for this user to perform this operation."
141061,"The directories named in the path could not be created, or the application is already deployed. It is invalid to change the path of a deployed application.","Specify a valid path for the application"
141060,"No information available.","No action required."
141059,"No information available.","No action required."
141058,"No information available.","No information available."
141057,"No information available.","Please reload the application properly."
141056,"The provided application path is NULL.","Correct the configured application application."
141055,"An invalid value was specified for the attrName attribute, or the attribute is not associated with the MBean.","Verify legal values for attribute attrName."
141054,"This user does not have permission to set MBean attributes.","Update the security policy for this user as necessary."
141053,"No information available.","No action required."
141052,"No information available.","No action required."
141051,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon the details of the provided error message."
141050,"Refer to the embedded exception information for more details as to the probable cause of this error.","Refer to the provided exception information and take action accordingly."
141049,"The application deployment descriptor contains invalid information.","Correct the deployment descriptor or ensure all referenced modules exist."
141048,"Refer to the embedded exception information for more details as to the probable cause of this error.","Correct the application or the required deployment descriptors."
141047,"This is an internal error that should not occur during normal operations.","Contact Oracle support."
141046,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141045,"No information available.","No information available."
141044,"Refer to the embedded exception information for more details as to the probable cause of this error.","Refer to the provided exception information and take action accordingly."
141043,"Refer to the embedded exception information for more details as to the probable cause of this error.","Refer to the provided exception information and take action accordingly."
141042,"Refer to the embedded exception information for more details as to the probable cause of this error.","Refer to the exception information and take appropriate action."
141041,"WebLogic Server is unable to find the relevant WAR files in RootDirectory/lib. This might also be an internal failure. See the exception stack trace for any more details.","If you are not running the server from the directory where WebLogic Server was installed, make sure that the value of the provided RootDirectory matches the directory where the WebLogic Server product was installed. Verify that a file with the application name in the log message (with a .war extension) is present in RootDirectory/lib. If not, contact Oracle customer support."
141040,"The directories named in the path could not be created, or the application is already deployed. It is invalid to change the path of a deployed application.","Specify a valid path for the application."
141039,"No information available.","No action required."
141038,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141037,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141036,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141035,"The configured application file may not have been packaged properly, may not have the appropriate descriptor files, or may contain no components and will not be deployed.","Make sure that the application is packaged properly with the correct descriptor files."
141034,"No information available.","No action required."
141033,"This is an internal error that should not occur during normal operations.","Contact Oracle Support."
141032,"No information available.","No action required."
141031,"No information available.","No action required."
141030,"This is normal processing when starting the admin server.","You may turn this functionality off by passing -Dweblogic.management.discover=false on the start command for the admin server."
141029,"Either the admin server is not currently running at the specified URL,or a network partition exists.","Verify that the admin server is running and is not partitioned from the managed server making the request."
141028,"This is normal operation for the admin server during managed server discovery logic, if the managed server is thought to be running but was shutdown after the admin server was shutdown.","Ignore this warning if the managed server was intentionally shutdown and is no longer running. If the managed server is still running, refer to exception details as to why the admin server was unable to reconnect."
141027,"No information available.","No information available."
141026,"No information available.","No information available."
141025,"No information available.","No information available."
141024,"An internal request has been incorrectly made to a managed server rather than an admin server. No internal processing has been taken for this request.","No action required."
141023,"An invalid attribute value may have been specified.","Verify that the provided attribute value (specified either in the configuration or through a dynamic setting) is correct."
141022,"This is an internal error related to configuration processing. Refer to the provided exception message for details on the cause of this problem.","Take action based upon the detailed exception information provided."
141021,"A non-applicable cluster property was specified at server startup.","Modify your configuration to identify that this managed server is, in fact, a member of a cluster, or eliminate the specification of the cluster property from the start command."
141020,"Refer to the embedded exception information for more details as to the probable cause of this error.","Contact Oracle support."
141019,"No information available.","No information available."
141018,"No information available.","No information available."
141017,"No information available.","No information available."
141016,"No information available.","No information available."
141015,"This is an internal error. This error is encountered during development mode deployment from the applications directory, when a temporary directory cannot be created.","If the application failed to deploy, attempt deployment again by recopying the application into the applications directory."
141014,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon the detailed information provided in the exception."
141013,"No information available.","No information available."
141012,"No information available.","No information available."
141011,"The identified file was not available to the admin server.","Verify the configuration of this file."
141010,"An invalid request has been made to the file distribution servlet.","This is an internal error. No action is required."
141009,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
141008,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
141007,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
141006,"The specified application is either misconfigured, or the file has not been correctly made available at the specified path path.","Either correct the application configuration to identify the correct path, or make the file available at the configured location."
141005,"No information available.","No information available."
141004,"Please refer to provided exception information for complete details and probable cause.","Verify that the specified application is correctly configured and is available at the specified path. Make sure that the user who started the server has permission to access the application."
141003,"No information available.","No information available."
141002,"This is usually caused by a misconfiguration on the Server of the application URLStreamHandler.","No information available."
141001,"No information available.","No information available."
141000,"This is probably due to a misconfigured module within the application. Refer to the specific exception content for more specific information.","Verify that the identified module moduleURI is correctly configured for application application from path path."
140013,"This is an information-level message only.","No action required."
140012,"This is either expected behavior or the user/script has configured an invalid environment that does not allow the booting Admin Server to locate the configuration file.","If generation of a default configuration is not the desired behavior, please confirm that the configuration file is present and that the environment is correctly configured to identify the directory in which this configuration file is located."
140010,"A dynamic change to the configuration may have been unsuccessful, resulting in the removal of mbeanName. (However, not all references to mbeanName were removed.)","It may be necessary to restart the admin server to correct this inconsistent state."
140009,"This is an information-level message only.","No action required."
140008,"The config.xml file is either write-protected, or the user that has started the server is not authorized to write to this file or directory.","Ensure that the OS user who starts the server has authorization to write to the config.xml file and that the config.xml file is not write-protected."
140007,"Refer to the embedded exception information for more details as to the probable cause of this error.","Refer to the provided exception for details on what caused this error."
140006,"This is an internal error that may be due to resource limitations.","Refer to details of the message body. If a dynamic configuration change is required, this might require a restart of the admin server."
140005,"The Administration Server was directed to obtain its configuration information from the specified file location.","No action required."
140004,"No information available.","No information available."
140003,"No information available.","No information available."
140002,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
140001,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
140000,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
130038,"This property is specified to other xml parser, or its incorrect to all xml parsers.","Dont set this property if you are sure."
130037,"An error condition was reported.","No user action required."
130036,"No information available.","No information available."
130035,"File does not exist.","Check file name, the file location and associated permissions."
130034,"Error in the structure of the XML document.","Verify XML syntax."
130033,"Misconfiguration.","Verify the factory that creates the parser. Verify properties or features set on this parser."
130032,"The file is read-protected.","Check the access rights and make appropriate changes."
130031,"The file is read-protected.","Check the access rights and make appropriate changes."
130030,"The file is read-protected.","Check the access rights and make appropriate changes."
130029,"Unknown cause.","Refer to the associated text at the end of the message and contact support if you need help resolving the error."
130028,"Either the provided parameters are not in sync with usage, or something is using a lot of the available memory.","Reduce the cache size or increase the JVM heap size. If you think that there should be more available memory, determine what is using all the memory."
130027,"Either the provided parameters are not in sync with usage, or something is using a lot of the available memory.","Reduce the cache size or increase the JVM heap size. If you think there should be more available memory, determine what is using all the memory."
130026,"The cache file is not large, so you are close to the wall on memory usage.","Increase the JVM heap size."
130025,"The cache file is not large, so you are close to the wall on memory usage.","Increase the JVM heap size."
130024,"The entry might be unusually large or perhaps the JVM heap size is too small.","Check the size of the rejected entry. If you wish to be able to handle entries of that size, increase the heap size."
130023,"This is often a file protection issue.","Determine why the file cannot be saved and make the appropriate adjustments."
130022,"This is often a file protection issue.","Determine why the file cannot be saved and make the appropriate adjustments."
130021,"This is often a file protection issue.","Determine why the file cannot be saved and make the appropriate adjustments."
130020,"This should not occur.","The server should be restarted."
130019,"This should not occur.","The server should be restarted. The entry will be re-cached on next access."
130018,"This should not occur.","The server should be restarted. If you have a backup of the cache files, restore them and then restart the server."
130017,"No information available.","No information available."
130016,"No information available.","No information available."
130015,"No information available.","No information available."
130014,"No information available.","No information available."
130013,"No information available.","No information available."
130012,"No information available.","No information available."
130011,"No information available.","No information available."
130010,"No information available.","No information available."
130009,"The size of the entry on the disk exceeds the allocated disk space.","No action is required. If you want the entry to be persisted next time, increase the disk size of the cache."
130008,"No information available.","No information available."
130007,"No information available.","No information available."
130006,"The entry is larger than the cache.","No action required unless you want the item to be cached next time. If so, increase the cache memory size."
130003,"Class name of the factory is not correct or it is not in the CLASSPATH.","Check your CLASSPATH or verify your console entry."
130002,"Usually this indicates that the entity timeout was set to a very small value. Otherwise there is some unknown problem with the cache module itself.","No action is required, but XML parse performance will be impacted. Also there is no cached copy to act as a backup in the event of a network failure."
130001,Unknown,"No action is required. However, performance will increase if items are cached. Also the cache provides a fallback in the case of a network failure. While the cache is not operating, this fullback is not in effect."
130000,"The cache may be too small or a specific item might be legitimately very large. The worst case is that this indicates a denial of service attack.","No action required. However, performance will be best if items are cached."
119005,"JTA sub-system failed.","JTA Transaction Recovery Service will be automatically migrated to backup server."
119004,"The value of user preferred server is invalid. It must be [localServer].","Change the value of user preferred server of JTAMigratableTargetMBean [localServer] from [configValue] to [localServer]."
119003,"Unknown. Possible disk corruption.","Examine the root exception thrown by the LLR resource to determine the root cause of the problem. Some possible solutions are, A, restore LLR resource tables from backup, B, delete the failing LLR table (which risks producing heuristic hazards), or C, contact customer support."
119002,"If the logging last resource is a JDBC LLR connection, there are a number of possible root causes. Among them are: the database may have shutdown or crashed, the database connection may have failed during boot, or the database connection may have incorrect database permissions.","Examine the root exception thrown by the LLR resource to determine the root cause of the problem."
119001,"If the logging last resource is a database, there are a number of possible root causes. Among them are: the database may have shutdown or crashed during the call to local commit, the database connection may have failed, the database local transaction may have timed out, or the database may have detected a potention dead-lock condition introduced by application operations within the local commit.","Examine the root exception thrown by the LLR resource to determine the root cause of the problem."
119000,"If the logging last resource is a database, there are a number of possible root causes. Among them are: the database may have shutdown or crashed during the call to local commit, the database connection may have failed, the database local transaction may have timed out, or the database may have detected a potention dead-lock condition introduced by application operations within the local commit.","Examine the root exception thrown by the LLR resource to determine the root cause of the problem."
111005,"The call to the resource manager may have been affected by a server or network problem and could have been interrupted.","Verify that the resource manager is functioning properly and is accessible."
111004,"Internal error.","Contact Customer Support."
111003,"Refer to the associated exception.","No information available."
111002,"No information available.","No information available."
111001,"There are no suitable RMI and/or JNDI providers configured.","Configure appropriate RMI and JNDI context providers."
110505,"See message detail.","Change the application to assign the proper TRANSACTION_COMPLETION_TIMEOUT_SECONDS_PROPERTY_KEY property value."
110504,"There may be a problem with the JNDI provider or another object is already bound to this context.","Contact Customer Support."
110503,"The AdminServer or Singleton Master is down, or cannot be reached.","Start AdminServer or Singleton Master before starting any managed server in cluster."
110502,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110501,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110500,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110499,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110498,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110496,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110495,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110494,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110493,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110492,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110491,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110490,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
114089,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that the client software is not directly invoking an internal WebLogic system object."
110488,"Prior to server restart, one or more global transactions were processed that had a LLR participant and may not have completed before the server was restarted, potentially leaving a commit record in a LLR resource and prepared resource transaction branches that are awaiting a commit or rollback decision from the coordinator.","Redeploy the specified LLR resources, wait for all in progress transactions to complete and shutdown the server gracefully."
110487,"The resource may have been undeployed or is unresponsive and declared unavailable. Check for related server log messages that may provide additional detail regarding the state of the resource.","If the resource is undeployed, deploy the resource or the application module if the resource is application scoped. If a problem exists with the resource manager correct the problem and redeploy the resource."
110486,"The resource may have been undeployed or is unresponsive and declared unavailable. Check for related server log messages that may provide additional detail regarding the state of the resource.","If the resource is undeployed, deploy the resource or the application module if the resource is application scoped. If a problem exists with the resource manager correct the problem and redeploy the resource."
110485,"Refer to the message body for information regarding the events that caused the health change.","Refer to the message body for the cause of the JTA state change and take the appropriate action to correct the exception condition."
110484,"Refer to the message body for information regarding the events that caused the health change.","Refer to the message body for the cause of the JTA state change and take the appropriate action to correct the exception condition."
110483,"An internal event has caused the JTA health state to transition to the normal state. Refer to previous health log entries for the conditions that have been corrected to trigger the state change.","None required."
110482,"If the logging last resource is a JDBC LLR connection, there are a number of possible root causes. Among them are: the database may have shutdown or crashed, the database connection may have failed during boot, or the database connection may have incorrect database permissions.","Examine the root exception thrown by the LLR resource to determine the root cause of the problem."
110481,"The logging last resource is in a failed state, or a query on the logging last resource transaction table is blocked due to locked rows.","Wait to see if communication with the logging resource (typically a database) eventually succeeds by checking for notice level log messages about resolved logging resource transactions. If the condition does not resolve itself, investigate the logging resource to see if there are long-standing operations and/or clients that are the cause of the blocking condition, and to see if the logging resource is logging error messages to its own logs."
110480,"See previous log messages for the same transaction to determine the root cause.","See previous log messages for the same transaction to determine the root cause."
110479,"If the logging last resource is a database, there are a number of possible root causes. Among them are: the database may have shutdown or crashed during the call to local commit, the database connection may have failed, the database local transaction may have timed out, or the database may have detected a potention dead-lock condition introduced by application operations within the local commit.","Examine the exception thrown by the LLR resource to determine the root cause of the problem. Note that no action may be required as the transaction manager will periodically retry the transaction until it can automatically rollback or commit accordingly."
110478,"If the logging last resource is a database, there are a number of possible root causes. Among them are: the database may have shutdown or crashed during the call to local commit, the database connection may have failed, the database local transaction may have timed out, or the database may have detected a potention dead-lock condition introduced by application operations within the local commit.","Examine the exception thrown by the LLR resource to determine the root cause of the problem."
110477,"The administrator requested that the specified resource be unregistered from the transaction manager and transactions still exist on the server that refer to the resource.","Monitor in-flight transactions to determine if there are still active transactions that depend on the unregistered resource. Options include using the administration console to manually resolve transactions dependent transactions, or the resource may be redeployed for a sufficient period to allow the dependent transactions to complete."
110476,"The server has detected pending transactions during graceful shutdown","No action required. Use force shutdown command to ignore inflight work and shutdown the server immediately."
110475,"This might be a symptom of a potential security attack, or alternately, a problem with the ""system"" security identity of the server.","Verify that client software is not directly invoking an internal WebLogic system object."
110474,"There may be a problem with the JNDI provider, or another object is already bound to this context.","Contact Customer Support."
110473,"The authenticated principal making the request does not have adequate privileges to perform a forced commit operation on the transaction.","Authenticate using an identity with adequate privileges prior to invoking the operation."
110472,"The authenticated principal making the request does not have adequate privileges to perform a forced rollback operation on the transaction.","Authenticate using an identity with adequate privileges prior to invoking the operation."
110471,"The authenticated principal making the request does not have adequate privileges to perform a forced commit operation on the transaction.","Authenticate using an identity with adequate privileges prior to invoking the operation."
110470,"The authenticated principal making the request does not have adequate privileges to perform a forced rollback operation on the transaction.","Authenticate using an identity with adequate privileges prior to invoking the operation."
110469,"Refer to the resource exception in the error message and any appropriate resource-specific error logs.","Determine if administrative operations are required in the resource to resolve the transaction branch."
110468,"Refer to the resource exception in the error message and any appropriate resource-specific error logs.","Determine if administrative operations are required in the resource to resolve the transaction branch."
110467,"The transaction may have completed before the administrative client invoked the rollback operation.","No action required. The transaction has been resolved."
110466,"The transaction may have completed before the administrative client invoked the commit operation.","No action required. The transaction has been resolved."
110465,"There may be a blocked resource operation for this transaction. The resource may be experiencing problems or it may be slow to respond.","Attempt to retry the commit operation. The associated resource changes for the transaction may need to be manually resolved using a resource-specific utility."
110464,"There may be a blocked resource operation for this transaction. The resource may be experiencing problems or it may be slow to respond.","Attempt to retry the commit operation. The associated resource changes for the transaction may need to be manually resolved using a resource-specific utility."
110463,"The transaction has been marked for rollback by an application component.","Attempt to resolve the transaction by using a forced rollback operation instead."
110462,"The transaction has been marked for rollback by an application component.","Attempt to resolve the transaction by using a forced rollback operation instead."
110461,"The coordinating server is an older version of WebLogic Server that does not support manual transaction resolution.","Perform local commit operations on all participants that support manual transaction resolution."
110460,"The coordinating server is an older version of WebLogic Server that does not support manual transaction resolution.","Perform local commit operations on all participants that support manual transaction resolution."
110459,"The server that has been chosen as the coordinator for the transaction is either not running or is unreachable.","Verify that the coordinating server is available and retry the operation. Alternatively, perform local operations to resolve the transaction."
110458,"The server that has been chosen, since the coordinator for the transaction is either not running or is unreachable.","Verify that the coordinating server is available and retry the operation. Alternatively, perform local operations to resolve the transaction."
110457,"The administrative request is invalid.","Issue a force rollback operation instead to resolve the transaction."
110456,"The administrative request is invalid.","Issue a force rollback operation instead to resolve the transaction."
110455,"The administrative request is invalid.","Issue a force commit operation instead to resolve the transaction."
110454,"The administrative request is invalid.","Issue a force commit operation instead to resolve the transaction."
110453,"Refer to the exception information in the error message.","Check to see if the transaction still exists. The operation may have resolved the transaction. If the problem persists, Contact Customer Support."
110452,"Refer to the exception information in the error message.","Check to see if the transaction still exists. The operation may have resolved the transaction. If the problem persists, Contact Customer Support."
110451,"Refer to the exception information in the error message.","Check to see if the transaction still exists, the operation may have resolved the transaction. If the problem persists, Contact Customer Support."
110450,"Refer to the exception information in the error message.","Check to see if the transaction still exists. The operation may have resolved the transaction. If the problem persists, Contact Customer Support."
110449,"The transaction may have completed before the administrative request was made.","No action required."
110448,"The transaction may have completed before the administrative request was made.","No action required."
110447,"The transaction may have completed before the administrative request was made.","No action required."
110446,"The transaction may have completed before the administrative request was made.","No action required."
110445,"A force global commit was initiated by an administrative application.","No action required."
110444,"A force global rollback was initiated by an administrative application.","No action required."
110443,"The force local commit was initiated by an administrative application.","No action required."
110442,"The force local rollback was initiated by an administrative application.","No action required."
110441,"Informational message.","None required."
110440,"The native file I/O may not be supported on this platform.","Contact Customer Support."
110434,"Refer to the exception portion of the error message.","Check for related messages in the server error log. Contact Customer Support."
110433,"The Transaction Recovery Service associated with the current server is currently owned by other servers.","Migrate the Transaction Recovery Migratable Service back to the current server before restarting it."
110432,"Refer to the exception portion of the error message.","Check for related messages in the server error log. Contact Customer Support."
110431,"See message detail.","Remove or change the offending ExecuteQueue definition in the server configuration."
110430,"Debugging - please do not change.","No action required."
110429,"There may be a problem with the JNDI provider, or another object is already bound to this context.","Contact Customer Support."
110428,"Another remote object may be bound to this object ID.","Contact Customer Support."
110427,"There may be a problem with the JNDI provider, or another object is already bound to this context.","Contact Customer Support."
110426,"There may be a problem with the JNDI provider, or another object is already bound to this context.","Contact Customer Support."
110425,"There may be a problem with the JNDI provider or another object is already bound to this context.","Contact Customer Support."
110410,"There may be a problem with the JMX Admin Server, or another MBean with this name is already registered with the Admin Server.","Contact Customer Support."
